model,method,budget,task,task_type,quant_ratio,evict_ratio
Llama-3.2-3B-Instruct,AKCB,1024,longbench_multi_news,LongBench,0.1920654252447878,0.6458401784633475
Llama-3.2-3B-Instruct,AKCB,1024,longbench_multifieldqa_en,LongBench,0.1912377465341178,0.8704049003147069
Llama-3.2-3B-Instruct,AKCB,1024,longbench_multifieldqa_zh,LongBench,0.2221728764832308,0.7978322244378196
Llama-3.2-3B-Instruct,AKCB,1024,longbench_musique,LongBench,0.20120961013132949,0.9345195274407303
Llama-3.2-3B-Instruct,AKCB,1024,longbench_narrativeqa,LongBench,0.17613190707874501,0.9633905237228692
Llama-3.2-3B-Instruct,AKCB,1024,longbench_passage_count,LongBench,0.14401040481992952,0.9345340747264128
Llama-3.2-3B-Instruct,AKCB,1024,longbench_passage_retrieval_en,LongBench,0.1190529386285358,0.9183154149740448
Llama-3.2-3B-Instruct,AKCB,1024,longbench_passage_retrieval_zh,LongBench,0.1389326470428455,0.8169009047670136
Llama-3.2-3B-Instruct,AKCB,1024,longbench_qasper,LongBench,0.1784813168644304,0.8228565250297329
Llama-3.2-3B-Instruct,AKCB,1024,longbench_qmsum,LongBench,0.2330527280635405,0.9309335437701921
Llama-3.2-3B-Instruct,AKCB,1024,longbench_repobench-p,LongBench,0.20745402321471818,0.9100253229510991
Llama-3.2-3B-Instruct,AKCB,1024,longbench_samsum,LongBench,0.21421735393227362,0.8966429133778792
Llama-3.2-3B-Instruct,AKCB,1024,longbench_trec,LongBench,0.2145448552895829,0.8333007748909292
Llama-3.2-3B-Instruct,AKCB,1024,longbench_triviaqa,LongBench,0.20411437533876156,0.9107376348960059
Llama-3.2-3B-Instruct,AKCB,1024,longbench_vcsum,LongBench,0.16535444307608657,0.9117384043527447
Llama-3.2-3B-Instruct,AKCB,1024,stem,MMLU,0.12335848866693915,0.7945994086709539
Llama-3.2-3B-Instruct,AKCB,1024,other,MMLU,0.14638867698620148,0.7325183501815428
Llama-3.2-3B-Instruct,AKCB,1024,social sciences,MMLU,0.12630821672469106,0.721436343852013
Llama-3.2-3B-Instruct,AKCB,1024,humanities,MMLU,0.15545107119010085,0.8637913879976802
Llama-3.2-3B-Instruct,AKCB,2048,commonsense_qa,CommonQA,0.0,0.0
Llama-3.2-3B-Instruct,AKCB,2048,gsm8k,GSM8K,0.1737015890181361,0.0
Llama-3.2-3B-Instruct,AKCB,2048,longbench_2wikimqa,LongBench,0.18654685847632974,0.7169433195582768
Llama-3.2-3B-Instruct,AKCB,2048,longbench_dureader,LongBench,0.20005725038432995,0.8408077761670275
Llama-3.2-3B-Instruct,AKCB,2048,longbench_gov_report,LongBench,0.18088016302914114,0.8109506468571006
Llama-3.2-3B-Instruct,AKCB,2048,longbench_hotpotqa,LongBench,0.2102008673587871,0.8457026725156002
Llama-3.2-3B-Instruct,AKCB,2048,longbench_lcc,LongBench,0.19310021243534212,0.34933312999993643
Llama-3.2-3B-Instruct,AKCB,2048,longbench_lsht,LongBench,0.19202470775934735,0.8775553519461554
Llama-3.2-3B-Instruct,AKCB,2048,longbench_multi_news,LongBench,0.1920654252447878,0.2875158726017151
Llama-3.2-3B-Instruct,AKCB,2048,longbench_multifieldqa_en,LongBench,0.1912377465341178,0.7404802635747323
Llama-3.2-3B-Instruct,AKCB,2048,longbench_multifieldqa_zh,LongBench,0.2221728764832308,0.595534687146673
Llama-3.2-3B-Instruct,AKCB,2048,longbench_musique,LongBench,0.20120961013132949,0.8690313081041674
Llama-3.2-3B-Instruct,AKCB,2048,longbench_narrativeqa,LongBench,0.17613190707874501,0.9267866750318611
Llama-3.2-3B-Instruct,AKCB,2048,longbench_passage_count,LongBench,0.14401040481992952,0.8690735901677334
Llama-3.2-3B-Instruct,AKCB,2048,longbench_passage_retrieval_en,LongBench,0.1190529386285358,0.8366666600206161
Llama-3.2-3B-Instruct,AKCB,2048,longbench_passage_retrieval_zh,LongBench,0.1389326470428455,0.633823088991896
Llama-3.2-3B-Instruct,AKCB,2048,longbench_qasper,LongBench,0.1784813168644304,0.6463019731445102
Llama-3.2-3B-Instruct,AKCB,2048,longbench_qmsum,LongBench,0.2330527280635405,0.8617785216780951
Llama-3.2-3B-Instruct,AKCB,2048,longbench_repobench-p,LongBench,0.20745402321471818,0.8200506459021982
Llama-3.2-3B-Instruct,AKCB,2048,longbench_samsum,LongBench,0.21421735393227362,0.7931997243336169
Llama-3.2-3B-Instruct,AKCB,2048,longbench_trec,LongBench,0.2145448552895829,0.6664929650859823
Llama-3.2-3B-Instruct,AKCB,2048,longbench_triviaqa,LongBench,0.20411437533876156,0.8214951092013257
Llama-3.2-3B-Instruct,AKCB,2048,longbench_vcsum,LongBench,0.16535444307608657,0.8237737626840081
Llama-3.2-3B-Instruct,AKCB,2048,stem,MMLU,0.12335848866693915,0.5891988173419077
Llama-3.2-3B-Instruct,AKCB,2048,other,MMLU,0.14638867698620148,0.4650367003630855
Llama-3.2-3B-Instruct,AKCB,2048,social sciences,MMLU,0.12630821672469106,0.4428726877040261
Llama-3.2-3B-Instruct,AKCB,2048,humanities,MMLU,0.15545107119010085,0.7275827759953604
Meta-Llama-3.1-8B-Instruct,AKCB,512,commonsense_qa,CommonQA,0.0,0.0
Meta-Llama-3.1-8B-Instruct,AKCB,512,gsm8k,GSM8K,0.2166030436191137,0.46843727918332867
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_2wikimqa,LongBench,0.17369830148550308,0.9292685790858792
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_dureader,LongBench,0.21549747088321103,0.960202717408202
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_gov_report,LongBench,0.17693807251830973,0.9528197567268706
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_hotpotqa,LongBench,0.17713777500690214,0.9614389594544215
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_lcc,LongBench,0.22780472984274563,0.8373363832761469
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_lsht,LongBench,0.21755251815602944,0.9693942360140775
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_multi_news,LongBench,0.22953504065913707,0.8264906721792026
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_multifieldqa_en,LongBench,0.2676173242101958,0.9353872558092577
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_multifieldqa_zh,LongBench,0.22347956748156625,0.8988861679437554
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_musique,LongBench,0.18376816096927842,0.967265729392434
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_narrativeqa,LongBench,0.18529799562905563,0.981716783332277
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_passage_count,LongBench,0.19263342076181195,0.9672827771298944
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_passage_retrieval_en,LongBench,0.15321413547603938,0.9592069252618286
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_passage_retrieval_zh,LongBench,0.15306849206017517,0.9085608150946092
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_qasper,LongBench,0.18075044051853237,0.9128473552066045
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_qmsum,LongBench,0.25770879699826144,0.9657565167956929
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_repobench-p,LongBench,0.20289997453501624,0.9550129381735428
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_samsum,LongBench,0.2076422424065805,0.948295493275637
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_trec,LongBench,0.2200858947239807,0.9166964953955289
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_triviaqa,LongBench,0.2096452073452639,0.9553683311286277
Meta-Llama-3.1-8B-Instruct,AKCB,512,longbench_vcsum,LongBench,0.19845698977245435,0.9560397102226992
Meta-Llama-3.1-8B-Instruct,AKCB,512,stem,MMLU,0.12248980385544984,0.8972997043354769
Meta-Llama-3.1-8B-Instruct,AKCB,512,other,MMLU,0.11559848929303342,0.8662591750907713
Meta-Llama-3.1-8B-Instruct,AKCB,512,social sciences,MMLU,0.11280467247731882,0.8607181719260065
Meta-Llama-3.1-8B-Instruct,AKCB,512,humanities,MMLU,0.12796937236085681,0.9318956939988401
Meta-Llama-3.1-8B-Instruct,AKCB,1024,commonsense_qa,CommonQA,0.0,0.0
Meta-Llama-3.1-8B-Instruct,AKCB,1024,gsm8k,GSM8K,0.21912506065699966,0.0
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_2wikimqa,LongBench,0.17369830148550308,0.8585146804835924
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_dureader,LongBench,0.21549747088321103,0.9204045067838834
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_gov_report,LongBench,0.17693807251830973,0.9055781723290564
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_hotpotqa,LongBench,0.17713777500690214,0.9228754502541006
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_lcc,LongBench,0.22780472984274563,0.6746427901922594
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_lsht,LongBench,0.21755251815602944,0.9387883805521599
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_multi_news,LongBench,0.22953504065913707,0.6531782118695015
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_multifieldqa_en,LongBench,0.2676173242101958,0.8707462385135817
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_multifieldqa_zh,LongBench,0.22347956748156625,0.7978242413473119
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_musique,LongBench,0.18376816096927842,0.9345230863668625
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_narrativeqa,LongBench,0.18529799562905563,0.9634196549694702
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_passage_count,LongBench,0.19263342076181195,0.9345648225214589
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_passage_retrieval_en,LongBench,0.15321413547603938,0.9184107627677396
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_passage_retrieval_zh,LongBench,0.15306849206017517,0.8170807952698237
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_qasper,LongBench,0.18075044051853237,0.8257347560456766
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_qmsum,LongBench,0.25770879699826144,0.9316015523241445
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_repobench-p,LongBench,0.20289997453501624,0.9100260344589745
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_samsum,LongBench,0.2076422424065805,0.8966136946469317
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_trec,LongBench,0.2200858947239807,0.8333435052385312
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_triviaqa,LongBench,0.2096452073452639,0.9107411362200092
Meta-Llama-3.1-8B-Instruct,AKCB,1024,longbench_vcsum,LongBench,0.19845698977245435,0.9120794204453985
Meta-Llama-3.1-8B-Instruct,AKCB,1024,stem,MMLU,0.12248980385544984,0.7945994086709539
Meta-Llama-3.1-8B-Instruct,AKCB,1024,other,MMLU,0.11559848929303342,0.7325183501815428
Meta-Llama-3.1-8B-Instruct,AKCB,1024,social sciences,MMLU,0.11280467247731882,0.721436343852013
Meta-Llama-3.1-8B-Instruct,AKCB,1024,humanities,MMLU,0.12796937236085681,0.8637913879976802
Meta-Llama-3.1-8B-Instruct,AKCB,2048,commonsense_qa,CommonQA,0.0,0.0
Meta-Llama-3.1-8B-Instruct,AKCB,2048,gsm8k,GSM8K,0.2084810454856763,0.0
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_2wikimqa,LongBench,0.17369830148550308,0.7169247355672045
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_dureader,LongBench,0.21549747088321103,0.8408087042193855
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_gov_report,LongBench,0.17693807251830973,0.8112794616672925
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_hotpotqa,LongBench,0.17713777500690214,0.8457081941153648
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_lcc,LongBench,0.22780472984274563,0.3492442272434075
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_lsht,LongBench,0.21755251815602944,0.8775628551529119
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_multi_news,LongBench,0.22953504065913707,0.30635642373900307
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_multifieldqa_en,LongBench,0.2676173242101958,0.7415000904581389
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_multifieldqa_zh,LongBench,0.22347956748156625,0.5956265271367575
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_musique,LongBench,0.18376816096927842,0.86907944889352
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_narrativeqa,LongBench,0.18529799562905563,0.9268335597455966
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_passage_count,LongBench,0.19263342076181195,0.8691290178286153
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_passage_retrieval_en,LongBench,0.15321413547603938,0.8368114486968024
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_passage_retrieval_zh,LongBench,0.15306849206017517,0.6342906121793012
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_qasper,LongBench,0.18075044051853237,0.6512320975460227
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_qmsum,LongBench,0.25770879699826144,0.8631969366267157
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_repobench-p,LongBench,0.20289997453501624,0.8200522270294207
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_samsum,LongBench,0.2076422424065805,0.7932012904724159
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_trec,LongBench,0.2200858947239807,0.6665961222263825
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_triviaqa,LongBench,0.2096452073452639,0.8214756588424248
Meta-Llama-3.1-8B-Instruct,AKCB,2048,longbench_vcsum,LongBench,0.19845698977245435,0.8240957853418881
Meta-Llama-3.1-8B-Instruct,AKCB,2048,stem,MMLU,0.12248980385544984,0.5891988173419077
Meta-Llama-3.1-8B-Instruct,AKCB,2048,other,MMLU,0.11559848929303342,0.4650367003630855
Meta-Llama-3.1-8B-Instruct,AKCB,2048,social sciences,MMLU,0.11280467247731882,0.4428726877040261
Meta-Llama-3.1-8B-Instruct,AKCB,2048,humanities,MMLU,0.12796937236085681,0.7275827759953604
Qwen3-4B-Instruct-2507,AKCB,512,commonsense_qa,CommonQA,0.0,0.0
Qwen3-4B-Instruct-2507,AKCB,512,gsm8k,GSM8K,0.12672177152212205,0.5445317494410489
Qwen3-4B-Instruct-2507,AKCB,512,longbench_2wikimqa,LongBench,0.14103788833648795,0.9329992017483021
Qwen3-4B-Instruct-2507,AKCB,512,longbench_dureader,LongBench,0.16938773584195263,0.9523595735623548
Qwen3-4B-Instruct-2507,AKCB,512,longbench_gov_report,LongBench,0.14450064962837755,0.9542528335097995
Qwen3-4B-Instruct-2507,AKCB,512,longbench_hotpotqa,LongBench,0.13134171056088817,0.9632463784761603
Qwen3-4B-Instruct-2507,AKCB,512,longbench_lcc,LongBench,0.18447992289356593,0.8397796970834898
Qwen3-4B-Instruct-2507,AKCB,512,longbench_lsht,LongBench,0.19359272515734466,0.9604929888558592
Qwen3-4B-Instruct-2507,AKCB,512,longbench_multi_news,LongBench,0.14372504877445147,0.8288312382990104
Qwen3-4B-Instruct-2507,AKCB,512,longbench_multifieldqa_en,LongBench,0.13068355887537808,0.9374954220279805
Qwen3-4B-Instruct-2507,AKCB,512,longbench_multifieldqa_zh,LongBench,0.12257181346472963,0.8774892474083114
Qwen3-4B-Instruct-2507,AKCB,512,longbench_musique,LongBench,0.1763699672941514,0.9688163300109326
Qwen3-4B-Instruct-2507,AKCB,512,longbench_narrativeqa,LongBench,0.17186038967875308,0.9817856793461344
Qwen3-4B-Instruct-2507,AKCB,512,longbench_passage_count,LongBench,0.10614930580680428,0.9682406761262309
Qwen3-4B-Instruct-2507,AKCB,512,longbench_passage_retrieval_en,LongBench,0.156287481317769,0.9604722485461777
Qwen3-4B-Instruct-2507,AKCB,512,longbench_passage_retrieval_zh,LongBench,0.11835074665214,0.8923442460943249
Qwen3-4B-Instruct-2507,AKCB,512,longbench_qasper,LongBench,0.1537601530046536,0.9142242065320277
Qwen3-4B-Instruct-2507,AKCB,512,longbench_qmsum,LongBench,0.19950022453848004,0.965810767271155
Qwen3-4B-Instruct-2507,AKCB,512,longbench_repobench-p,LongBench,0.2076845271658552,0.9555852810315318
Qwen3-4B-Instruct-2507,AKCB,512,longbench_samsum,LongBench,0.17340698871674887,0.9484862814540552
Qwen3-4B-Instruct-2507,AKCB,512,longbench_trec,LongBench,0.20164906620289058,0.9173056501076077
Qwen3-4B-Instruct-2507,AKCB,512,longbench_triviaqa,LongBench,0.2105570325626451,0.9569232969663316
Qwen3-4B-Instruct-2507,AKCB,512,longbench_vcsum,LongBench,0.15496452722187495,0.9480164783702354
Qwen3-4B-Instruct-2507,AKCB,512,stem,MMLU,0.16316542488492672,0.8999358964336528
Qwen3-4B-Instruct-2507,AKCB,512,other,MMLU,0.14449257916947736,0.8691962209970723
Qwen3-4B-Instruct-2507,AKCB,512,social sciences,MMLU,0.15754562353750373,0.8615175726627033
Qwen3-4B-Instruct-2507,AKCB,512,humanities,MMLU,0.17760485060552555,0.932644872722489
Qwen3-4B-Instruct-2507,AKCB,1024,commonsense_qa,CommonQA,0.0,0.0
Qwen3-4B-Instruct-2507,AKCB,1024,gsm8k,GSM8K,0.15164640914729904,0.10537085758324699
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_2wikimqa,LongBench,0.14103788833648795,0.8659927041926355
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_dureader,LongBench,0.16938773584195263,0.9047271255550413
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_gov_report,LongBench,0.14450064962837755,0.9085246699763941
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_hotpotqa,LongBench,0.13134171056088817,0.9264926250352193
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_lcc,LongBench,0.18447992289356593,0.6795583914081594
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_lsht,LongBench,0.19359272515734466,0.9209847583148302
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_multi_news,LongBench,0.14372504877445147,0.6572413619969707
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_multifieldqa_en,LongBench,0.13068355887537808,0.8750193248114305
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_multifieldqa_zh,LongBench,0.12257181346472963,0.7550634765916987
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_musique,LongBench,0.1763699672941514,0.9376326600218651
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_narrativeqa,LongBench,0.17186038967875308,0.9635684749902383
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_passage_count,LongBench,0.10614930580680428,0.9364813522524618
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_passage_retrieval_en,LongBench,0.156287481317769,0.9209444970923556
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_passage_retrieval_zh,LongBench,0.11835074665214,0.7845752513989986
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_qasper,LongBench,0.1537601530046536,0.8285582738630893
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_qmsum,LongBench,0.19950022453848004,0.9315924137055668
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_repobench-p,LongBench,0.2076845271658552,0.9111705620630637
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_samsum,LongBench,0.17340698871674887,0.8969764499634035
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_trec,LongBench,0.20164906620289058,0.8346780540767439
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_triviaqa,LongBench,0.2105570325626451,0.9138478623921521
Qwen3-4B-Instruct-2507,AKCB,1024,longbench_vcsum,LongBench,0.15496452722187495,0.8961505208953975
Qwen3-4B-Instruct-2507,AKCB,1024,stem,MMLU,0.16316542488492672,0.7998717928673056
Qwen3-4B-Instruct-2507,AKCB,1024,other,MMLU,0.14449257916947736,0.7383924419941446
Qwen3-4B-Instruct-2507,AKCB,1024,social sciences,MMLU,0.15754562353750373,0.7230351453254067
Qwen3-4B-Instruct-2507,AKCB,1024,humanities,MMLU,0.17760485060552555,0.8652897454449779
Qwen3-4B-Instruct-2507,AKCB,2048,commonsense_qa,CommonQA,0.0,0.0
Qwen3-4B-Instruct-2507,AKCB,2048,gsm8k,GSM8K,0.13948267245904925,0.0
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_2wikimqa,LongBench,0.14103788833648795,0.7319968069932083
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_dureader,LongBench,0.16938773584195263,0.8094546943180655
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_gov_report,LongBench,0.14450064962837755,0.8168747093959011
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_hotpotqa,LongBench,0.13134171056088817,0.852986569231984
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_lcc,LongBench,0.18447992289356593,0.35911878833395916
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_lsht,LongBench,0.19359272515734466,0.841969821482999
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_multi_news,LongBench,0.14372504877445147,0.31400051918906025
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_multifieldqa_en,LongBench,0.13068355887537808,0.7499073957235142
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_multifieldqa_zh,LongBench,0.12257181346472963,0.5100009570293809
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_musique,LongBench,0.1763699672941514,0.8752653200437303
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_narrativeqa,LongBench,0.17186038967875308,0.9271680442681731
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_passage_count,LongBench,0.10614930580680428,0.8729627045049236
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_passage_retrieval_en,LongBench,0.156287481317769,0.8418889941847112
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_passage_retrieval_zh,LongBench,0.11835074665214,0.5690825118618034
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_qasper,LongBench,0.1537601530046536,0.657206939550921
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_qmsum,LongBench,0.19950022453848004,0.8632690905024427
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_repobench-p,LongBench,0.2076845271658552,0.8223414323548521
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_samsum,LongBench,0.17340698871674887,0.7939565276443336
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_trec,LongBench,0.20164906620289058,0.66917985518542
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_triviaqa,LongBench,0.2105570325626451,0.8276939127069429
Qwen3-4B-Instruct-2507,AKCB,2048,longbench_vcsum,LongBench,0.15496452722187495,0.7923126262869544
Qwen3-4B-Instruct-2507,AKCB,2048,stem,MMLU,0.16316542488492672,0.5997435857346113
Qwen3-4B-Instruct-2507,AKCB,2048,other,MMLU,0.14449257916947736,0.476784883988289
Qwen3-4B-Instruct-2507,AKCB,2048,social sciences,MMLU,0.15754562353750373,0.4460702906508133
Qwen3-4B-Instruct-2507,AKCB,2048,humanities,MMLU,0.17760485060552555,0.7305794908899559
Qwen3-8B,AKCB,512,commonsense_qa,CommonQA,0.0,0.0
Qwen3-8B,AKCB,512,gsm8k,GSM8K,0.11197339705933945,0.5300588403632328
Qwen3-8B,AKCB,512,longbench_2wikimqa,LongBench,0.17572558352917653,0.9329992017483021
Qwen3-8B,AKCB,512,longbench_dureader,LongBench,0.20845543997274335,0.9523651139585567
