model,method,budget,task,Task Type,Eval metric,Avg len,Language,performance
Llama-3.2-3B-Instruct,Quant,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,7.38
Llama-3.2-3B-Instruct,Quant,1024,GovReport,Summarization,Rouge-L,8734,EN,3.18
Llama-3.2-3B-Instruct,Quant,1024,QMSum,Summarization,Rouge-L,10614,EN,9.93
Llama-3.2-3B-Instruct,Quant,1024,MultiNews,Summarization,Rouge-L,2113,EN,4.89
Llama-3.2-3B-Instruct,Quant,1024,VCSUM,Summarization,Rouge-L,15380,ZH,2.11
Llama-3.2-3B-Instruct,Quant,1024,TREC,Few shot,Accuracy,5177,EN,48.0
Llama-3.2-3B-Instruct,Quant,1024,TriviaQA,Few shot,F1,8209,EN,37.17
Llama-3.2-3B-Instruct,Quant,1024,SAMSum,Few shot,Rouge-L,6258,EN,13.09
Llama-3.2-3B-Instruct,Quant,1024,LSHT,Few shot,Accuracy,22337,ZH,17.5
Llama-3.2-3B-Instruct,Quant,1024,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Quant,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,68.28
Llama-3.2-3B-Instruct,Quant,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,3.5
Llama-3.2-3B-Instruct,Quant,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,10.37
Llama-3.2-3B-Instruct,Quant,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,12.61
Llama-3.2-3B-Instruct,Origin,1024,NarrativeQA,Single-doc QA,F1,18409,EN,25.37
Llama-3.2-3B-Instruct,Origin,1024,Qasper,Single-doc QA,F1,3619,EN,37.2
Llama-3.2-3B-Instruct,Origin,1024,MultiFieldQA-en,Single-doc QA,F1,4559,EN,50.47
Llama-3.2-3B-Instruct,Origin,1024,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,26.94
Llama-3.2-3B-Instruct,Origin,1024,HotpotQA,Multi-doc QA,F1,9151,EN,29.96
Llama-3.2-3B-Instruct,Origin,1024,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,26.36
Llama-3.2-3B-Instruct,Origin,1024,MuSiQue,Multi-doc QA,F1,11214,EN,13.91
Llama-3.2-3B-Instruct,Origin,1024,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.68
Llama-3.2-3B-Instruct,Origin,1024,GovReport,Summarization,Rouge-L,8734,EN,26.91
Llama-3.2-3B-Instruct,Origin,1024,QMSum,Summarization,Rouge-L,10614,EN,21.92
Llama-3.2-3B-Instruct,Origin,1024,MultiNews,Summarization,Rouge-L,2113,EN,24.58
Llama-3.2-3B-Instruct,Origin,1024,VCSUM,Summarization,Rouge-L,15380,ZH,13.94
Llama-3.2-3B-Instruct,Origin,1024,TREC,Few shot,Accuracy,5177,EN,72.0
Llama-3.2-3B-Instruct,Origin,1024,TriviaQA,Few shot,F1,8209,EN,89.11
Llama-3.2-3B-Instruct,Origin,1024,SAMSum,Few shot,Rouge-L,6258,EN,42.36
Llama-3.2-3B-Instruct,Origin,1024,LSHT,Few shot,Accuracy,22337,ZH,33.5
Llama-3.2-3B-Instruct,Origin,1024,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Origin,1024,PassageRetr.-en,Synthetic,Accuracy,9289,EN,87.83
Llama-3.2-3B-Instruct,Origin,1024,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,29.0
Llama-3.2-3B-Instruct,Origin,1024,LCC,Code,Edit Sim,1235,Python/C#/Java,54.42
Llama-3.2-3B-Instruct,Origin,1024,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.51
Llama-3.2-3B-Instruct,AKCB,2048,NarrativeQA,Single-doc QA,F1,18409,EN,25.25
Llama-3.2-3B-Instruct,AKCB,2048,Qasper,Single-doc QA,F1,3619,EN,37.94
Llama-3.2-3B-Instruct,AKCB,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,49.65
Llama-3.2-3B-Instruct,AKCB,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,27.01
Llama-3.2-3B-Instruct,AKCB,2048,HotpotQA,Multi-doc QA,F1,9151,EN,30.77
Llama-3.2-3B-Instruct,AKCB,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,27.33
Llama-3.2-3B-Instruct,AKCB,2048,MuSiQue,Multi-doc QA,F1,11214,EN,15.89
Llama-3.2-3B-Instruct,AKCB,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,25.85
Llama-3.2-3B-Instruct,AKCB,2048,GovReport,Summarization,Rouge-L,8734,EN,28.89
Llama-3.2-3B-Instruct,AKCB,2048,QMSum,Summarization,Rouge-L,10614,EN,22.88
Llama-3.2-3B-Instruct,AKCB,2048,MultiNews,Summarization,Rouge-L,2113,EN,25.18
Llama-3.2-3B-Instruct,AKCB,2048,VCSUM,Summarization,Rouge-L,15380,ZH,14.29
Llama-3.2-3B-Instruct,AKCB,2048,TREC,Few shot,Accuracy,5177,EN,72.0
Llama-3.2-3B-Instruct,AKCB,2048,TriviaQA,Few shot,F1,8209,EN,89.11
Llama-3.2-3B-Instruct,AKCB,2048,SAMSum,Few shot,Rouge-L,6258,EN,43.03
Llama-3.2-3B-Instruct,AKCB,2048,LSHT,Few shot,Accuracy,22337,ZH,33.5
Llama-3.2-3B-Instruct,AKCB,2048,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,AKCB,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,88.83
Llama-3.2-3B-Instruct,AKCB,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,28.0
Llama-3.2-3B-Instruct,AKCB,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,54.63
Llama-3.2-3B-Instruct,AKCB,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.3
Llama-3.2-3B-Instruct,Quant,2048,NarrativeQA,Single-doc QA,F1,18409,EN,5.88
Llama-3.2-3B-Instruct,Quant,2048,Qasper,Single-doc QA,F1,3619,EN,7.39
Llama-3.2-3B-Instruct,Quant,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,10.13
Llama-3.2-3B-Instruct,Quant,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,13.32
Llama-3.2-3B-Instruct,Quant,2048,HotpotQA,Multi-doc QA,F1,9151,EN,10.56
Llama-3.2-3B-Instruct,Quant,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,9.77
Llama-3.2-3B-Instruct,Quant,2048,MuSiQue,Multi-doc QA,F1,11214,EN,3.93
Llama-3.2-3B-Instruct,Quant,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,7.38
Llama-3.2-3B-Instruct,Quant,2048,GovReport,Summarization,Rouge-L,8734,EN,3.18
Llama-3.2-3B-Instruct,Quant,2048,QMSum,Summarization,Rouge-L,10614,EN,9.93
Llama-3.2-3B-Instruct,Quant,2048,MultiNews,Summarization,Rouge-L,2113,EN,13.65
Llama-3.2-3B-Instruct,Quant,2048,VCSUM,Summarization,Rouge-L,15380,ZH,2.22
Llama-3.2-3B-Instruct,Quant,2048,TREC,Few shot,Accuracy,5177,EN,48.0
Llama-3.2-3B-Instruct,Quant,2048,TriviaQA,Few shot,F1,8209,EN,37.91
Llama-3.2-3B-Instruct,Quant,2048,SAMSum,Few shot,Rouge-L,6258,EN,14.12
Llama-3.2-3B-Instruct,Quant,2048,LSHT,Few shot,Accuracy,22337,ZH,17.5
Llama-3.2-3B-Instruct,Quant,2048,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Quant,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,68.28
Llama-3.2-3B-Instruct,Quant,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,3.5
Llama-3.2-3B-Instruct,Quant,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,28.5
Llama-3.2-3B-Instruct,Quant,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,12.61
Llama-3.2-3B-Instruct,Origin,2048,NarrativeQA,Single-doc QA,F1,18409,EN,25.7
Llama-3.2-3B-Instruct,Origin,2048,Qasper,Single-doc QA,F1,3619,EN,38.33
Llama-3.2-3B-Instruct,Origin,2048,MultiFieldQA-en,Single-doc QA,F1,4559,EN,50.6
Llama-3.2-3B-Instruct,Origin,2048,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,26.52
Llama-3.2-3B-Instruct,Origin,2048,HotpotQA,Multi-doc QA,F1,9151,EN,30.76
Llama-3.2-3B-Instruct,Origin,2048,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,26.57
Llama-3.2-3B-Instruct,Origin,2048,MuSiQue,Multi-doc QA,F1,11214,EN,13.68
Llama-3.2-3B-Instruct,Origin,2048,DuReader,Multi-doc QA,Rouge-L,15768,ZH,25.23
Llama-3.2-3B-Instruct,Origin,2048,GovReport,Summarization,Rouge-L,8734,EN,28.7
Llama-3.2-3B-Instruct,Origin,2048,QMSum,Summarization,Rouge-L,10614,EN,22.29
Llama-3.2-3B-Instruct,Origin,2048,MultiNews,Summarization,Rouge-L,2113,EN,25.07
Llama-3.2-3B-Instruct,Origin,2048,VCSUM,Summarization,Rouge-L,15380,ZH,14.61
Llama-3.2-3B-Instruct,Origin,2048,TREC,Few shot,Accuracy,5177,EN,72.0
Llama-3.2-3B-Instruct,Origin,2048,TriviaQA,Few shot,F1,8209,EN,89.11
Llama-3.2-3B-Instruct,Origin,2048,SAMSum,Few shot,Rouge-L,6258,EN,42.82
Llama-3.2-3B-Instruct,Origin,2048,LSHT,Few shot,Accuracy,22337,ZH,33.5
Llama-3.2-3B-Instruct,Origin,2048,PassageCount,Synthetic,Accuracy,11141,EN,3.5
Llama-3.2-3B-Instruct,Origin,2048,PassageRetr.-en,Synthetic,Accuracy,9289,EN,88.17
Llama-3.2-3B-Instruct,Origin,2048,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,29.0
Llama-3.2-3B-Instruct,Origin,2048,LCC,Code,Edit Sim,1235,Python/C#/Java,54.64
Llama-3.2-3B-Instruct,Origin,2048,RepoBench-P,Code,Edit Sim,4206,Python/Java,56.58
Meta-Llama-3.1-8B-Instruct,Base,,NarrativeQA,Single-doc QA,F1,18409,EN,27.61
Meta-Llama-3.1-8B-Instruct,Base,,Qasper,Single-doc QA,F1,3619,EN,12.99
Meta-Llama-3.1-8B-Instruct,Base,,MultiFieldQA-en,Single-doc QA,F1,4559,EN,26.75
Meta-Llama-3.1-8B-Instruct,Base,,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,20.2
Meta-Llama-3.1-8B-Instruct,Base,,HotpotQA,Multi-doc QA,F1,9151,EN,16.99
Meta-Llama-3.1-8B-Instruct,Base,,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.34
Meta-Llama-3.1-8B-Instruct,Base,,MuSiQue,Multi-doc QA,F1,11214,EN,11.1
Meta-Llama-3.1-8B-Instruct,Base,,DuReader,Multi-doc QA,Rouge-L,15768,ZH,29.48
Meta-Llama-3.1-8B-Instruct,Base,,GovReport,Summarization,Rouge-L,8734,EN,34.19
Meta-Llama-3.1-8B-Instruct,Base,,QMSum,Summarization,Rouge-L,10614,EN,23.11
Meta-Llama-3.1-8B-Instruct,Base,,MultiNews,Summarization,Rouge-L,2113,EN,26.73
Meta-Llama-3.1-8B-Instruct,Base,,VCSUM,Summarization,Rouge-L,15380,ZH,16.02
Meta-Llama-3.1-8B-Instruct,Base,,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,Base,,TriviaQA,Few shot,F1,8209,EN,91.65
Meta-Llama-3.1-8B-Instruct,Base,,SAMSum,Few shot,Rouge-L,6258,EN,43.64
Meta-Llama-3.1-8B-Instruct,Base,,LSHT,Few shot,Accuracy,22337,ZH,46.0
Meta-Llama-3.1-8B-Instruct,Base,,PassageCount,Synthetic,Accuracy,11141,EN,5.92
Meta-Llama-3.1-8B-Instruct,Base,,PassageRetr.-en,Synthetic,Accuracy,9289,EN,97.9
Meta-Llama-3.1-8B-Instruct,Base,,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,77.03
Meta-Llama-3.1-8B-Instruct,Base,,LCC,Code,Edit Sim,1235,Python/C#/Java,65.18
Meta-Llama-3.1-8B-Instruct,Base,,RepoBench-P,Code,Edit Sim,4206,Python/Java,58.56
Meta-Llama-3.1-8B-Instruct,AKCB,512,NarrativeQA,Single-doc QA,F1,18409,EN,24.79
Meta-Llama-3.1-8B-Instruct,AKCB,512,Qasper,Single-doc QA,F1,3619,EN,11.38
Meta-Llama-3.1-8B-Instruct,AKCB,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,25.74
Meta-Llama-3.1-8B-Instruct,AKCB,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,19.97
Meta-Llama-3.1-8B-Instruct,AKCB,512,HotpotQA,Multi-doc QA,F1,9151,EN,15.4
Meta-Llama-3.1-8B-Instruct,AKCB,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,16.17
Meta-Llama-3.1-8B-Instruct,AKCB,512,MuSiQue,Multi-doc QA,F1,11214,EN,11.48
Meta-Llama-3.1-8B-Instruct,AKCB,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,24.21
Meta-Llama-3.1-8B-Instruct,AKCB,512,GovReport,Summarization,Rouge-L,8734,EN,25.48
Meta-Llama-3.1-8B-Instruct,AKCB,512,QMSum,Summarization,Rouge-L,10614,EN,22.43
Meta-Llama-3.1-8B-Instruct,AKCB,512,MultiNews,Summarization,Rouge-L,2113,EN,23.97
Meta-Llama-3.1-8B-Instruct,AKCB,512,VCSUM,Summarization,Rouge-L,15380,ZH,13.97
Meta-Llama-3.1-8B-Instruct,AKCB,512,TREC,Few shot,Accuracy,5177,EN,72.5
Meta-Llama-3.1-8B-Instruct,AKCB,512,TriviaQA,Few shot,F1,8209,EN,91.66
Meta-Llama-3.1-8B-Instruct,AKCB,512,SAMSum,Few shot,Rouge-L,6258,EN,44.79
Meta-Llama-3.1-8B-Instruct,AKCB,512,LSHT,Few shot,Accuracy,22337,ZH,46.0
Meta-Llama-3.1-8B-Instruct,AKCB,512,PassageCount,Synthetic,Accuracy,11141,EN,6.08
Meta-Llama-3.1-8B-Instruct,AKCB,512,PassageRetr.-en,Synthetic,Accuracy,9289,EN,97.11
Meta-Llama-3.1-8B-Instruct,AKCB,512,PassageRetr.-zh,Synthetic,Accuracy,6745,ZH,77.09
Meta-Llama-3.1-8B-Instruct,AKCB,512,LCC,Code,Edit Sim,1235,Python/C#/Java,63.43
Meta-Llama-3.1-8B-Instruct,AKCB,512,RepoBench-P,Code,Edit Sim,4206,Python/Java,55.91
Meta-Llama-3.1-8B-Instruct,Quant,512,NarrativeQA,Single-doc QA,F1,18409,EN,5.7
Meta-Llama-3.1-8B-Instruct,Quant,512,Qasper,Single-doc QA,F1,3619,EN,9.67
Meta-Llama-3.1-8B-Instruct,Quant,512,MultiFieldQA-en,Single-doc QA,F1,4559,EN,8.58
Meta-Llama-3.1-8B-Instruct,Quant,512,MultiFieldQA-zh,Single-doc QA,F1,6701,ZH,11.98
Meta-Llama-3.1-8B-Instruct,Quant,512,HotpotQA,Multi-doc QA,F1,9151,EN,21.67
Meta-Llama-3.1-8B-Instruct,Quant,512,2WikiMultihopQA,Multi-doc QA,F1,4887,EN,11.98
Meta-Llama-3.1-8B-Instruct,Quant,512,MuSiQue,Multi-doc QA,F1,11214,EN,6.58
Meta-Llama-3.1-8B-Instruct,Quant,512,DuReader,Multi-doc QA,Rouge-L,15768,ZH,4.36
Meta-Llama-3.1-8B-Instruct,Quant,512,GovReport,Summarization,Rouge-L,8734,EN,1.49
Meta-Llama-3.1-8B-Instruct,Quant,512,QMSum,Summarization,Rouge-L,10614,EN,6.62
Meta-Llama-3.1-8B-Instruct,Quant,512,MultiNews,Summarization,Rouge-L,2113,EN,1.84
Meta-Llama-3.1-8B-Instruct,Quant,512,VCSUM,Summarization,Rouge-L,15380,ZH,0.2
Meta-Llama-3.1-8B-Instruct,Quant,512,TREC,Few shot,Accuracy,5177,EN,47.0
